height, expanded nodes, train_precision, test_precision
4,65,0.9226618705035972,0.7755102040816326
4,68,0.9039451114922813,0.7635135135135135
4,61,0.9198542805100182,0.8099173553719008
4,67,0.9095652173913044,0.8014184397163121
4,64,0.9420849420849421,0.8031496062992126
4,60,0.8780889621087314,0.7583892617449665
4,64,0.9115523465703971,0.8014705882352942
4,71,0.9221453287197232,0.7364864864864865
4,64,0.9209558823529411,0.8405797101449275
4,70,0.9137931034482759,0.7761194029850746
4,60,0.9040852575488455,0.8068965517241379
4,67,0.9109947643979057,0.7692307692307693
4,65,0.9128856624319419,0.8222222222222222
5,106,0.9575221238938053,0.7723577235772358
5,112,0.9506802721088435,0.717391304347826
5,93,0.9289340101522843,0.7290322580645161
5,113,0.9547826086956521,0.8043478260869565
5,108,0.9483985765124555,0.8251748251748252
5,116,0.9853747714808044,0.75
5,112,0.951048951048951,0.8260869565217391
5,106,0.9479166666666666,0.7969924812030075
5,102,0.9515260323159784,0.8064516129032258
5,113,0.9732142857142857,0.7421875
5,94,0.9389830508474576,0.6887417218543046
5,113,0.9612676056338029,0.8
5,115,0.9717813051146384,0.7608695652173914
5,108,0.9498269896193772,0.78
5,103,0.9716312056737588,0.7538461538461538
5,108,0.9705882352941176,0.7
5,110,0.958041958041958,0.7753623188405797
5,104,0.9437819420783645,0.7708333333333334
5,112,0.9660107334525939,0.8148148148148148
5,99,0.9699115044247788,0.726027397260274
5,108,0.9657039711191335,0.8473282442748091
5,108,0.9485903814262023,0.7246376811594203
5,121,0.9699115044247788,0.7611940298507462
5,109,0.9664310954063604,0.7430555555555556
5,113,0.9662522202486679,0.7876712328767124
5,103,0.9618874773139746,0.7866666666666666
5,106,0.9675090252707581,0.8307692307692308
5,105,0.9705340699815838,0.762589928057554
5,106,0.9611307420494699,0.7659574468085106
5,104,0.985663082437276,0.6928571428571428
5,106,0.9636048526863085,0.7357142857142858
5,112,0.9746835443037974,0.7647058823529411
5,104,0.9575221238938053,0.7972027972027972
5,112,0.9753954305799648,0.808
5,105,0.9695340501792115,0.7913669064748201
5,117,0.9870848708487084,0.8
5,108,0.9646017699115044,0.7913669064748201
5,109,0.9715302491103203,0.7664233576642335
5,110,0.961335676625659,0.7410071942446043
5,112,0.9632224168126094,0.7153284671532847
5,106,0.973404255319149,0.7338129496402878
5,105,0.9602763385146805,0.7152777777777778
5,109,0.982363315696649,0.7142857142857143
5,108,0.9493006993006993,0.7894736842105263
5,109,0.9573712255772646,0.8409090909090909
5,107,0.95,0.7642857142857142
5,102,0.9599303135888502,0.75177304964539
5,96,0.9659735349716446,0.7786259541984732
5,114,0.9450171821305842,0.7841726618705036
5,115,0.9664310954063604,0.7883211678832117
6,121,0.986013986013986,0.7013888888888888
6,131,0.9964093357271095,0.8043478260869565
6,131,0.9911504424778761,0.7669172932330827
6,131,0.9964093357271095,0.832
6,132,0.9894366197183099,0.7446808510638298
6,131,0.9945255474452555,0.7730496453900709
6,145,0.9946902654867257,0.7851851851851852
6,143,0.9981884057971014,0.7928571428571428
6,133,0.9908592321755028,0.8560606060606061
6,123,0.9965095986038395,0.7291666666666666
6,130,0.9964093357271095,0.7894736842105263
6,141,0.9945848375451264,0.7986577181208053
6,120,0.9748201438848921,0.753968253968254
6,132,0.9927667269439421,0.8088235294117647
6,138,0.9859402460456942,0.7708333333333334
6,131,0.9947368421052631,0.7686567164179104
6,127,0.9928825622775801,0.7338709677419355
6,125,0.9927667269439421,0.7637795275590551
6,124,0.9892857142857143,0.7769784172661871
6,134,0.9825174825174825,0.7202797202797203
6,134,0.9963768115942029,0.7959183673469388
6,130,0.9855595667870036,0.8156028368794326
6,126,0.9835766423357665,0.8208955223880597
6,126,0.9875444839857651,0.6710526315789473
6,126,0.9790209790209791,0.7874015748031497
6,135,0.9824561403508771,0.7297297297297297
6,134,0.9946524064171123,0.7552447552447552
6,130,0.9946428571428572,0.7593984962406015
6,131,0.9945945945945946,0.7925925925925926
6,136,0.9893238434163701,0.816793893129771
6,128,0.9929824561403509,0.6594202898550725
6,131,0.9964601769911504,0.7651515151515151
6,129,0.9929701230228472,0.7647058823529411
6,131,0.9893428063943162,0.7368421052631579
6,130,0.9963963963963964,0.782608695652174
6,128,0.9892857142857143,0.7954545454545454
6,133,0.9981949458483754,0.7910447761194029
6,133,0.9927536231884058,0.7941176470588235
6,128,0.9860869565217392,0.7297297297297297
6,131,0.9841269841269841,0.75
6,127,0.9963833634719711,0.8043478260869565
6,136,0.9874551971326165,0.782608695652174
6,134,0.9946332737030411,0.8059701492537313
6,129,0.987410071942446,0.7954545454545454
6,124,0.9945454545454545,0.75
6,138,0.9981818181818182,0.8208955223880597
6,133,0.985663082437276,0.8380281690140845
6,138,0.994661921708185,0.7867647058823529
6,139,0.9944954128440368,0.7862068965517242
6,133,0.9774305555555556,0.7642276422764228
7,139,0.9964912280701754,0.7559055118110236
7,132,0.9910554561717353,0.8029197080291971
7,144,1.0,0.7931034482758621
7,130,1.0,0.7769784172661871
7,142,0.9982174688057041,0.7894736842105263
7,137,1.0,0.7463768115942029
7,138,0.9981718464351006,0.7916666666666666
7,137,0.9982078853046595,0.75177304964539
7,129,0.9981916817359855,0.7862595419847328
7,128,0.9857142857142858,0.7669172932330827
7,132,0.9928952042628775,0.7533333333333333
7,133,1.0,0.8151260504201681
7,137,0.998165137614679,0.8473282442748091
7,141,1.0,0.7481481481481481
7,135,1.0,0.7857142857142857
7,140,1.0,0.7361111111111112
7,133,1.0,0.7808219178082192
7,142,0.994661921708185,0.7622377622377622
7,140,0.9982078853046595,0.795774647887324
7,134,0.9964349376114082,0.7702702702702703
7,144,1.0,0.7985074626865671
7,135,1.0,0.7943262411347518
7,140,1.0,0.7348484848484849
7,130,0.9928057553956835,0.7633587786259542
7,148,1.0,0.7837837837837838
7,143,0.9963768115942029,0.8203125
7,148,0.9981916817359855,0.7959183673469388
7,149,1.0,0.8074074074074075
7,140,0.9964285714285714,0.7954545454545454
7,135,0.9964476021314387,0.743421052631579
7,131,1.0,0.7723577235772358
7,132,1.0,0.7164179104477612
7,137,0.9945848375451264,0.8028169014084507
7,139,1.0,0.7286821705426356
7,140,0.9927536231884058,0.8260869565217391
7,141,1.0,0.7352941176470589
7,149,1.0,0.7611940298507462
7,135,0.9981916817359855,0.8257575757575758
7,141,0.9928571428571429,0.782608695652174
7,138,1.0,0.7785714285714286
7,135,0.9964664310954063,0.7482517482517482
7,139,0.99822695035461,0.7448275862068966
7,143,1.0,0.7253521126760564
7,142,0.9964349376114082,0.8059701492537313
7,138,0.998211091234347,0.7697841726618705
7,141,1.0,0.7611940298507462
7,136,0.9964221824686941,0.7867647058823529
7,131,0.9982238010657194,0.7910447761194029
7,132,0.9982046678635548,0.7552447552447552
7,130,0.9982394366197183,0.684931506849315
8,142,1.0,0.7925925925925926
8,141,1.0,0.8449612403100775
8,140,1.0,0.8201438848920863
8,146,1.0,0.8296296296296296
8,139,1.0,0.7414965986394558
8,137,1.0,0.785234899328859
8,137,1.0,0.7923076923076923
8,128,1.0,0.7832167832167832
8,129,1.0,0.725925925925926
8,139,1.0,0.8062015503875969
8,149,1.0,0.7837837837837838
8,138,1.0,0.7461538461538462
8,136,1.0,0.7910447761194029
8,142,1.0,0.7777777777777778
8,134,1.0,0.7727272727272727
8,145,0.9982425307557118,0.7716535433070866
8,145,1.0,0.8085106382978723
8,145,1.0,0.8356164383561644
8,133,1.0,0.7194244604316546
8,139,1.0,0.726027397260274
8,138,0.9963702359346642,0.785234899328859
8,133,1.0,0.75
8,132,1.0,0.7841726618705036
8,138,1.0,0.8148148148148148
8,128,1.0,0.746268656716418
8,146,1.0,0.7894736842105263
8,138,1.0,0.8231292517006803
8,142,1.0,0.7112676056338029
8,134,1.0,0.7933333333333333
8,133,1.0,0.7131147540983607
8,141,1.0,0.7573529411764706
8,141,1.0,0.6901408450704225
8,141,1.0,0.7898550724637681
8,138,1.0,0.7122302158273381
8,137,1.0,0.795774647887324
8,147,1.0,0.7534246575342466
8,132,1.0,0.7226277372262774
8,139,1.0,0.7612903225806451
8,151,1.0,0.8142857142857143
8,135,1.0,0.7313432835820896
8,139,1.0,0.8292682926829268
8,144,1.0,0.7737226277372263
8,147,1.0,0.7801418439716312
8,139,0.9982238010657194,0.7983870967741935
8,136,1.0,0.7222222222222222
8,135,1.0,0.7611940298507462
8,149,1.0,0.762589928057554
8,143,1.0,0.8014705882352942
8,137,1.0,0.803030303030303
8,139,1.0,0.7518248175182481
9,143,1.0,0.7786259541984732
9,142,1.0,0.7535211267605634
9,153,1.0,0.85
9,141,1.0,0.723404255319149
9,136,1.0,0.7445255474452555
9,136,1.0,0.7605633802816901
9,139,1.0,0.7622377622377622
9,135,1.0,0.706766917293233
9,135,1.0,0.6911764705882353
9,143,1.0,0.8285714285714286
9,135,1.0,0.7401574803149606
9,131,1.0,0.7761194029850746
9,128,1.0,0.7692307692307693
9,138,1.0,0.753731343283582
9,142,1.0,0.75
9,136,1.0,0.7132352941176471
9,137,1.0,0.7676056338028169
9,144,1.0,0.8057553956834532
9,143,1.0,0.7716535433070866
9,136,1.0,0.7517241379310344
9,138,1.0,0.7676056338028169
9,142,1.0,0.8115942028985508
9,144,1.0,0.8134328358208955
9,138,1.0,0.7985074626865671
9,141,1.0,0.8059701492537313
9,145,1.0,0.8521739130434782
9,141,1.0,0.7913669064748201
9,143,0.9982425307557118,0.7633587786259542
9,148,1.0,0.8248175182481752
9,132,1.0,0.7071428571428572
9,132,1.0,0.7633587786259542
9,137,1.0,0.7692307692307693
9,141,1.0,0.7662337662337663
9,139,1.0,0.8043478260869565
9,139,1.0,0.7482993197278912
9,143,1.0,0.8068965517241379
9,139,1.0,0.7819548872180451
9,130,1.0,0.7014925373134329
9,140,1.0,0.835820895522388
9,132,1.0,0.7737226277372263
9,137,1.0,0.8201438848920863
9,144,1.0,0.75
9,134,1.0,0.7430555555555556
9,138,1.0,0.762589928057554
9,143,1.0,0.8
9,137,1.0,0.8029197080291971
9,132,1.0,0.7647058823529411
9,139,1.0,0.7333333333333333
9,132,1.0,0.7445255474452555
9,137,1.0,0.7761194029850746
10,144,1.0,0.7785234899328859
10,137,1.0,0.7816901408450704
10,145,1.0,0.7867647058823529
10,142,1.0,0.7762237762237763
10,143,1.0,0.7801418439716312
10,142,1.0,0.7801418439716312
10,144,1.0,0.7697841726618705
10,137,1.0,0.8114754098360656
10,145,1.0,0.8333333333333334
10,137,1.0,0.7681159420289855
10,140,1.0,0.7534246575342466
10,129,1.0,0.7323943661971831
10,133,1.0,0.7651515151515151
10,134,1.0,0.8
10,143,1.0,0.8270676691729323
10,138,1.0,0.7692307692307693
10,145,1.0,0.7448275862068966
10,137,1.0,0.7777777777777778
10,134,1.0,0.7272727272727273
10,136,1.0,0.819672131147541
10,137,1.0,0.7588652482269503
10,135,1.0,0.8507462686567164
10,138,1.0,0.781021897810219
10,139,1.0,0.8111888111888111
10,142,1.0,0.7786259541984732
10,139,1.0,0.7669172932330827
10,149,1.0,0.802547770700637
10,137,1.0,0.8214285714285714
10,146,1.0,0.8102189781021898
10,143,1.0,0.7
10,135,1.0,0.7342657342657343
10,143,1.0,0.7938931297709924
10,143,1.0,0.7878787878787878
10,140,1.0,0.7703703703703704
10,134,1.0,0.7697841726618705
10,145,1.0,0.7857142857142857
10,139,1.0,0.7342657342657343
10,132,1.0,0.7571428571428571
10,144,1.0,0.7793103448275862
10,140,1.0,0.75
10,137,1.0,0.796875
10,143,1.0,0.7785234899328859
10,136,1.0,0.7708333333333334
10,131,1.0,0.7183098591549296
10,142,1.0,0.8106060606060606
10,139,1.0,0.7851851851851852
10,144,1.0,0.7631578947368421
10,140,1.0,0.762589928057554
10,141,1.0,0.7777777777777778
10,139,1.0,0.753968253968254
11,144,1.0,0.8515625
11,142,1.0,0.7552447552447552
11,135,1.0,0.7481481481481481
11,142,1.0,0.7761194029850746
11,138,1.0,0.7753623188405797
11,145,1.0,0.8195488721804511
11,136,1.0,0.7357142857142858
11,137,1.0,0.7674418604651163
11,138,1.0,0.8014184397163121
11,133,1.0,0.7518796992481203
11,145,1.0,0.7637795275590551
11,134,1.0,0.7328767123287672
11,141,1.0,0.7703703703703704
11,128,1.0,0.7430555555555556
11,135,1.0,0.7692307692307693
11,144,1.0,0.7931034482758621
11,140,1.0,0.7906976744186046
11,138,1.0,0.7709923664122137
11,136,1.0,0.782312925170068
11,142,1.0,0.7183098591549296
11,139,1.0,0.7034482758620689
11,138,1.0,0.7542372881355932
11,141,1.0,0.781021897810219
11,139,1.0,0.8102189781021898
11,141,1.0,0.7880794701986755
11,134,1.0,0.765625
11,138,1.0,0.7906976744186046
11,139,1.0,0.7443609022556391
11,147,1.0,0.795774647887324
11,144,1.0,0.7786259541984732
11,146,1.0,0.8057553956834532
11,136,1.0,0.8074074074074075
11,143,1.0,0.7571428571428571
11,142,1.0,0.8067226890756303
11,139,1.0,0.7605633802816901
11,128,1.0,0.762589928057554
11,140,1.0,0.753731343283582
11,134,1.0,0.7835820895522388
11,138,1.0,0.7956204379562044
11,134,1.0,0.7430555555555556
11,138,1.0,0.782051282051282
11,141,1.0,0.7744360902255639
11,145,1.0,0.7786259541984732
11,138,1.0,0.7578125
11,144,1.0,0.7785714285714286
11,134,1.0,0.7697841726618705
11,133,1.0,0.7959183673469388
11,153,1.0,0.832
11,146,1.0,0.7785714285714286
11,143,1.0,0.8043478260869565
12,142,1.0,0.7664233576642335
12,143,1.0,0.7518796992481203
12,143,1.0,0.7777777777777778
12,141,1.0,0.7557251908396947
12,137,1.0,0.7769230769230769
12,147,1.0,0.752
12,131,1.0,0.7446808510638298
12,140,1.0,0.7338129496402878
12,134,1.0,0.6619718309859155
12,135,1.0,0.773972602739726
12,141,1.0,0.7279411764705882
12,138,1.0,0.8055555555555556
12,129,1.0,0.7122302158273381
12,136,1.0,0.8235294117647058
12,138,1.0,0.8264462809917356
12,132,1.0,0.7959183673469388
12,142,1.0,0.8053691275167785
12,139,1.0,0.7962962962962963
12,136,1.0,0.7816901408450704
12,147,1.0,0.7619047619047619
12,153,1.0,0.782608695652174
12,147,1.0,0.7878787878787878
12,135,1.0,0.782608695652174
12,134,1.0,0.717391304347826
12,142,1.0,0.7803030303030303
12,140,1.0,0.8359375
12,145,1.0,0.7762237762237763
12,135,1.0,0.816793893129771
12,142,1.0,0.7808219178082192
12,140,1.0,0.712
12,136,1.0,0.8169014084507042
12,137,1.0,0.8041958041958042
12,139,1.0,0.7941176470588235
12,152,1.0,0.8068965517241379
12,143,1.0,0.7608695652173914
12,139,1.0,0.7535211267605634
12,141,1.0,0.75177304964539
12,138,1.0,0.8091603053435115
12,138,1.0,0.7518248175182481
12,144,1.0,0.7886178861788617
12,131,1.0,0.7301587301587301
12,134,1.0,0.7697841726618705
12,136,1.0,0.8
12,141,1.0,0.8134328358208955
12,140,1.0,0.8169014084507042
12,140,1.0,0.7761194029850746
12,143,1.0,0.7681159420289855
12,135,1.0,0.7786259541984732
12,140,1.0,0.7414965986394558
12,148,1.0,0.8571428571428571
13,133,1.0,0.7426470588235294
13,149,1.0,0.7819548872180451
13,143,1.0,0.782608695652174
13,136,1.0,0.782608695652174
13,142,1.0,0.7925925925925926
13,136,1.0,0.7972027972027972
13,142,1.0,0.7272727272727273
13,138,1.0,0.8115942028985508
13,140,1.0,0.7959183673469388
13,131,1.0,0.6618705035971223
13,138,1.0,0.808
13,145,1.0,0.7777777777777778
13,142,1.0,0.7521367521367521
13,140,1.0,0.6917808219178082
13,138,1.0,0.803030303030303
13,147,1.0,0.7898550724637681
13,136,1.0,0.7744360902255639
13,140,1.0,0.746268656716418
13,141,1.0,0.8333333333333334
13,136,1.0,0.7401574803149606
13,143,1.0,0.781021897810219
13,135,1.0,0.8055555555555556
13,141,1.0,0.7910447761194029
13,135,1.0,0.7348484848484849
13,137,1.0,0.7734375
13,129,1.0,0.7348484848484849
13,143,1.0,0.72
13,141,1.0,0.7333333333333333
13,141,1.0,0.7226277372262774
13,142,1.0,0.7916666666666666
13,134,1.0,0.795774647887324
13,141,1.0,0.75
13,144,1.0,0.746268656716418
13,144,1.0,0.7835820895522388
13,144,1.0,0.7720588235294118
13,146,1.0,0.7985611510791367
13,132,1.0,0.7608695652173914
13,134,1.0,0.7846153846153846
13,145,1.0,0.7446808510638298
13,140,1.0,0.7986111111111112
13,138,1.0,0.7384615384615385
13,145,1.0,0.7518796992481203
13,134,1.0,0.7709923664122137
13,142,1.0,0.7851851851851852
13,143,1.0,0.7205882352941176
13,141,1.0,0.7536231884057971
13,143,1.0,0.7803030303030303
13,145,1.0,0.7209302325581395
13,146,1.0,0.8260869565217391
13,145,1.0,0.7906976744186046
14,143,1.0,0.8163265306122449
14,139,1.0,0.7551020408163265
14,138,1.0,0.8333333333333334
14,139,1.0,0.7762237762237763
14,146,1.0,0.8222222222222222
14,140,1.0,0.8014705882352942
14,140,1.0,0.7846153846153846
14,142,1.0,0.7412587412587412
14,139,1.0,0.84251968503937
14,146,1.0,0.803030303030303
14,139,1.0,0.7669172932330827
14,138,1.0,0.7533333333333333
14,140,1.0,0.7816901408450704
14,138,1.0,0.7898550724637681
14,137,1.0,0.7443609022556391
14,136,1.0,0.7762237762237763
14,135,1.0,0.7769784172661871
14,133,1.0,0.7414965986394558
14,137,1.0,0.7708333333333334
14,138,1.0,0.762962962962963
14,135,1.0,0.7692307692307693
14,140,1.0,0.7931034482758621
14,143,1.0,0.8015873015873016
14,145,1.0,0.74
14,132,1.0,0.7642857142857142
14,139,1.0,0.7569444444444444
14,135,1.0,0.7394366197183099
14,142,1.0,0.777027027027027
14,137,1.0,0.796875
14,138,1.0,0.7687074829931972
14,138,1.0,0.762962962962963
14,145,1.0,0.8055555555555556
14,142,1.0,0.8091603053435115
14,151,1.0,0.7928571428571428
14,145,1.0,0.8484848484848485
14,138,1.0,0.7902097902097902
14,146,1.0,0.8527131782945736
14,137,1.0,0.7841726618705036
14,138,1.0,0.7416666666666667
14,138,1.0,0.7615384615384615
14,134,1.0,0.7795275590551181
14,156,1.0,0.8321678321678322
14,135,1.0,0.7432432432432432
14,135,1.0,0.7111111111111111
14,151,1.0,0.796875
14,143,1.0,0.7575757575757576
14,137,1.0,0.7133333333333334
14,139,1.0,0.7819548872180451
14,139,1.0,0.7313432835820896
14,145,1.0,0.7846153846153846
15,135,1.0,0.7819548872180451
15,142,1.0,0.7655172413793103
15,139,1.0,0.738255033557047
15,144,1.0,0.7446808510638298
15,135,1.0,0.7285714285714285
15,136,1.0,0.7887323943661971
15,132,1.0,0.7938931297709924
15,136,1.0,0.7925925925925926
15,137,1.0,0.8283582089552238
15,138,1.0,0.762589928057554
15,135,1.0,0.762589928057554
15,128,1.0,0.7164179104477612
15,147,1.0,0.8028169014084507
15,139,1.0,0.7266187050359713
15,145,1.0,0.7874015748031497
15,142,1.0,0.7364864864864865
15,145,1.0,0.782608695652174
15,142,1.0,0.7348484848484849
15,138,1.0,0.7446808510638298
15,147,1.0,0.7972027972027972
15,143,1.0,0.8106060606060606
15,136,1.0,0.7183098591549296
15,151,1.0,0.8014184397163121
15,136,1.0,0.753968253968254
15,136,1.0,0.7925925925925926
15,143,1.0,0.7697841726618705
15,150,1.0,0.7549668874172185
15,138,1.0,0.7928571428571428
15,143,1.0,0.7426470588235294
15,133,1.0,0.7414965986394558
15,137,1.0,0.7777777777777778
15,141,1.0,0.7883211678832117
15,142,1.0,0.8409090909090909
15,141,1.0,0.7105263157894737
15,141,1.0,0.706766917293233
15,139,1.0,0.7887323943661971
15,136,1.0,0.7285714285714285
15,151,1.0,0.7703703703703704
15,142,1.0,0.7887323943661971
15,136,1.0,0.7567567567567568
15,131,1.0,0.7862595419847328
15,142,1.0,0.8014705882352942
15,132,1.0,0.7730496453900709
15,144,1.0,0.8031496062992126
15,136,1.0,0.7379310344827587
15,138,1.0,0.7986111111111112
15,131,1.0,0.7666666666666667
15,143,1.0,0.777027027027027
15,144,1.0,0.7829457364341085
15,145,1.0,0.7638888888888888
16,135,1.0,0.7066666666666667
16,148,1.0,0.7894736842105263
16,145,1.0,0.7581699346405228
16,141,1.0,0.7872340425531915
16,146,1.0,0.7936507936507936
16,141,1.0,0.7862595419847328
16,136,1.0,0.7647058823529411
16,137,1.0,0.7183098591549296
16,127,1.0,0.7083333333333334
16,139,1.0,0.7153284671532847
16,141,1.0,0.7412587412587412
16,138,1.0,0.8031496062992126
